vangogh,tr,7,tr,5,-1,2.83389687538,1543865042.82
vangogh,eq,7,tr,3,1,3.2442150116,1543865046.06
vangogh,tr,1,eq,5,-2,2.55087995529,1543865048.61
vangogh,eq,7,tr,1,2,3.05362915993,1543865051.66
vangogh,tr,5,eq,5,-1,2.42032885551,1543865054.08
vangogh,eq,3,eq,7,0,3.71034812927,1543865057.79
vangogh,eq,1,p,3,-1,3.38680005074,1543865061.18
vangogh,eq,7,p,7,1,3.19424581528,1543865064.37
vangogh,p,5,p,7,0,2.96887803078,1543865067.34
vangogh,p,3,tr,5,-1,2.38754701614,1543865069.73
vangogh,eq,1,p,1,0,3.2246658802,1543865072.95
portrait,eq,5,tr,7,-1,2.41703295708,1543865075.37
portrait,tr,5,tr,3,0,4.03616309166,1543865079.41
portrait,eq,7,tr,3,1,3.31645894051,1543865082.73
portrait,p,3,tr,1,0,3.47918987274,1543865086.21
portrait,eq,7,p,7,-1,3.10495305061,1543865089.31
portrait,eq,7,eq,5,0,3.34364414215,1543865092.65
portrait,eq,3,tr,5,0,2.94656896591,1543865095.6
portrait,p,5,eq,1,-1,3.35768699646,1543865098.96
portrait,p,7,eq,7,-1,2.54491901398,1543865101.5
portrait,p,5,eq,3,-1,2.78456902504,1543865104.28
portrait,p,3,eq,5,-1,2.01576495171,1543865106.3
portrait,p,1,eq,1,-1,4.68806409836,1543865110.99
text,p,1,tr,7,1,4.87003707886,1543865115.86
text,tr,7,tr,5,1,4.45246601105,1543865120.31
text,tr,3,eq,7,-1,3.43555498123,1543865123.75
text,tr,1,tr,7,-1,3.33287191391,1543865127.08
text,eq,7,p,7,-1,3.7531671524,1543865130.83
text,tr,7,eq,5,-1,3.94009613991,1543865134.77
text,p,1,eq,3,1,2.71174407005,1543865137.48
text,eq,1,tr,5,1,3.11888790131,1543865140.6
text,eq,7,p,7,0,2.69229221344,1543865143.29
text,p,5,p,1,-1,2.62970399857,1543865145.92
